city_id,city,latitude,longitude,observed_at,temperature,wind_speed
11,Belagavi,15.85212,74.50447,2026-08-08 18:00:00,22.8,19.1
21,Chennai,13.08784,80.27847,2026-08-08 18:00:00,28.7,7.6
22,Coimbatore,11.00555,76.96612,2026-08-08 18:00:00,24.7,19.9
67,Madurai,9.919,78.11953,2026-08-08 18:00:00,31.1,10.6
109,Tiruchirappalli,10.8155,78.69651,2026-08-08 18:00:00,33.1,22.9
95,Salem,11.65376,78.15538,2026-08-08 18:00:00,25.6,1.7
110,Tirunelveli,8.72742,77.6838,2026-08-08 18:00:00,29.2,15.3
41,Hyderabad,17.38405,78.45636,2026-08-08 18:00:00,27.2,5.9
120,Warangal,18.0,79.58333,2026-08-08 18:00:00,26.7,3.9
118,Vijayawada,16.50745,80.6466,2026-08-08 18:00:00,32.4,11.3
119,Visakhapatnam,17.68009,83.20161,2026-08-08 18:00:00,29.2,5.4
111,Tirupati,13.63551,79.41989,2026-08-08 18:00:00,27.8,3.1
55,Kochi,33.55,133.53333,2026-08-08 18:00:00,27.0,4.1
62,Kozhikode,11.24802,75.7804,2026-08-08 18:00:00,24.8,6.7
107,Thiruvananthapuram,8.4855,76.94924,2026-08-08 18:00:00,25.1,17.7
59,Kollam,8.88113,76.58469,2026-08-08 18:00:00,26.2,12.9
53,Kannur,11.86752,75.35763,2026-08-08 18:00:00,24.8,7.3
117,Vijayapura,16.82442,75.71537,2026-08-08 18:00:00,23.6,13.1
63,Kurnool,15.82887,78.03602,2026-08-08 18:00:00,29.4,17.9
79,Nellore,14.44992,79.98697,2026-08-08 18:00:00,29.4,4.2
87,Puducherry,11.93381,79.82979,2026-08-08 18:00:00,27.3,3.6
85,Port Blair,11.66613,92.74635,2026-08-08 18:00:00,25.7,17.5
99,Sibsagar,26.98427,94.63784,2026-08-08 18:15:00,28.3,2.0
56,Kohima,25.67467,94.11099,2026-08-10 22:00:00,19.9,3.9
